realtime_start,value,date,realtime_end
2019-12-06,234907.0,1983-10-01,2019-12-06
2019-12-06,235078.0,1983-11-01,2019-12-06
2019-12-06,235235.0,1983-12-01,2019-12-06
2019-12-06,235385.0,1984-01-01,2019-12-06
2019-12-06,235527.0,1984-02-01,2019-12-06
2019-12-06,235675.0,1984-03-01,2019-12-06
2019-12-06,235839.0,1984-04-01,2019-12-06
2019-12-06,235993.0,1984-05-01,2019-12-06
2019-12-06,236160.0,1984-06-01,2019-12-06
2019-12-06,236348.0,1984-07-01,2019-12-06
2019-12-06,236549.0,1984-08-01,2019-12-06
2019-12-06,236760.0,1984-09-01,2019-12-06
2019-12-06,236976.0,1984-10-01,2019-12-06
2019-12-06,237159.0,1984-11-01,2019-12-06
2019-12-06,237316.0,1984-12-01,2019-12-06
2019-12-06,237468.0,1985-01-01,2019-12-06
2019-12-06,237602.0,1985-02-01,2019-12-06
2019-12-06,237732.0,1985-03-01,2019-12-06
2019-12-06,237900.0,1985-04-01,2019-12-06
2019-12-06,238074.0,1985-05-01,2019-12-06
2019-12-06,238270.0,1985-06-01,2019-12-06
2019-12-06,238466.0,1985-07-01,2019-12-06
2019-12-06,238679.0,1985-08-01,2019-12-06
2019-12-06,238898.0,1985-09-01,2019-12-06
2019-12-06,239113.0,1985-10-01,2019-12-06
2019-12-06,239307.0,1985-11-01,2019-12-06
2019-12-06,239477.0,1985-12-01,2019-12-06
2019-12-06,239638.0,1986-01-01,2019-12-06
2019-12-06,239788.0,1986-02-01,2019-12-06
2019-12-06,239928.0,1986-03-01,2019-12-06
2019-12-06,240094.0,1986-04-01,2019-12-06
2019-12-06,240271.0,1986-05-01,2019-12-06
2019-12-06,240459.0,1986-06-01,2019-12-06
2019-12-06,240651.0,1986-07-01,2019-12-06
2019-12-06,240854.0,1986-08-01,2019-12-06
2019-12-06,241068.0,1986-09-01,2019-12-06
2019-12-06,241274.0,1986-10-01,2019-12-06
2019-12-06,241467.0,1986-11-01,2019-12-06
2019-12-06,241620.0,1986-12-01,2019-12-06
2019-12-06,241784.0,1987-01-01,2019-12-06
2019-12-06,241930.0,1987-02-01,2019-12-06
2019-12-06,242079.0,1987-03-01,2019-12-06
2019-12-06,242252.0,1987-04-01,2019-12-06
2019-12-06,242423.0,1987-05-01,2019-12-06
2019-12-06,242608.0,1987-06-01,2019-12-06
2019-12-06,242804.0,1987-07-01,2019-12-06
